name,label
ZINC15155873_5739,0
ZINC32795224_4438,0
ZINC37581870_1784,0
ZINC35664445_2920,0
ZINC39667559_3687,0
ZINC42016669_1843,0
ZINC04063481_1368,0
ZINC14111086_2130,0
ZINC62828704_1665,0
ZINC58867739_3640,0
ZINC48836200_1696,0
ZINC16503460_5740,0
ZINC09239229_4313,0
ZINC39662481_379,0
ZINC09254735_2277,0
ZINC13349230_4929,0
ZINC40688658_3441,0
ZINC01876431_4641,0
ZINC20745541_4890,0
ZINC15946720_3463,0
ZINC13398013_528,0
ZINC20806539_2403,0
ZINC02275208_2566,0
ZINC35394266_696,0
ZINC15230737_1995,0
ZINC38678932_6007,0
ZINC33043977_3573,0
ZINC03258698_6082,0
ZINC06553425_885,0
ZINC15768464_4620,0
ZINC44924262_1598,0
ZINC03142232_2846,0
ZINC03423478_914,0
ZINC12609247_2296,0
ZINC44882327_1199,0
ZINC44592611_4690,0
ZINC23590882_5849,0
ZINC43827430_1747,0
ZINC04453458_4706,0
ZINC24827087_5152,0
ZINC34755944_5243,0
ZINC16613672_6104,0
ZINC13041664_1966,0
ZINC14653746_2958,0
ZINC19852091_4431,0
CHEMBL472542_31,1
ZINC04556313_1315,0
ZINC64928186_5070,0
ZINC40345980_4795,0
ZINC39691345_400,0
ZINC15675774_4092,0
ZINC08974444_3798,0
ZINC02170042_444,0
ZINC12659586_5135,0
ZINC34683850_5683,0
ZINC39686734_397,0
ZINC30974518_1129,0
ZINC32971178_5950,0
ZINC36311773_1187,0
ZINC00866988_4953,0
ZINC09159357_2839,0
ZINC32535448_3013,0
ZINC35909988_3984,0
ZINC61365022_3904,0
ZINC20720052_5847,0
ZINC61671015_1769,0
ZINC26053292_2108,0
ZINC39666225_786,0
ZINC61900158_235,0
ZINC24028573_2076,0
ZINC63373451_505,0
ZINC09739238_2292,0
ZINC39980655_35,0
ZINC35697237_5956,0
ZINC63182446_4914,0
ZINC00747466_4565,0
ZINC12250850_3530,0
ZINC24352171_2309,0
ZINC00192786_4769,0
ZINC30976460_4834,0
ZINC33825844_4235,0
ZINC35399281_2841,0
ZINC57310317_4052,0
ZINC09236845_2237,0
ZINC16036757_476,0
ZINC08455960_2392,0
ZINC40973220_348,0
ZINC33575115_5497,0
